leadId,businessName,vertical,website,phone,email,subject,message,smsMessage,ctaUrl,messageKind,followupStage,status,emailStatus,smsStatus,lastError,smsLastError,createdAtUtc
"way-31842544","A. O. Reed and Company","plumber","https://aoreed.com/","+1-858-565-4131","info@aoreed.com","A. O. Reed and Company: 48-hour no-call lead follow-up setup","Hi A. O. Reed and Company team,

I build automated lead-response systems for plumber businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-31842544&vertical=plumber
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi A. O. Reed and Company, I can deploy a no-call lead follow-up setup for plumber in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-31842544&vertical=plumber","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-31842544&vertical=plumber","initial","0","failed","failed","pending","Command failed: osascript -e tell application ""Mail"" -e set outgoingMessage to make new outgoing message with properties {subject:""A. O. Reed and Company: 90% automated lead follow-up setup"", content:""Hi A. O. Reed and Company team,\n\nI run MYMSAF (MyMultiPlatform Set-and-Forget) for plumber businesses in San Diego.\n","","2026-03-08T02:36:47.590Z"
"node-11626066493","A+ Family Dentistry","dentist","https://www.aplusfamilydentistry.com","1771829362","sandiego@aplusfamilydentistry.com","A+ Family Dentistry: 48-hour no-call lead follow-up setup","Hi A+ Family Dentistry team,

I build automated lead-response systems for dentist businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11626066493&vertical=dentist
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi A+ Family Dentistry, I can deploy a no-call lead follow-up setup for dentist in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11626066493&vertical=dentist","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11626066493&vertical=dentist","initial","0","sent","sent","pending","","","2026-03-08T02:36:47.590Z"
"node-9414338726","Aero Dentistry Of San Diego","dentist","https://aerodentistry.com/","+1-858-277-2999","info@aerodentistry.com","Aero Dentistry Of San Diego: 48-hour no-call lead follow-up setup","Hi Aero Dentistry Of San Diego team,

I build automated lead-response systems for dentist businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-9414338726&vertical=dentist
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Aero Dentistry Of San Diego, I can deploy a no-call lead follow-up setup for dentist in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-9414338726&vertical=dentist","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-9414338726&vertical=dentist","initial","0","failed","failed","pending","Command failed: osascript -e tell application ""Mail"" -e set outgoingMessage to make new outgoing message with properties {subject:""Aero Dentistry Of San Diego: 90% automated lead follow-up setup"", content:""Hi Aero Dentistry Of San Diego team,\n\nI run MYMSAF (MyMultiPlatform Set-and-Forget) for dentist businesses in Sa","","2026-03-08T02:36:47.590Z"
"way-1002514113","Bath Fitter","plumber","https://www.bathfitter.com/location/sandiegosw/","106-2694476","privacy@bathfitter.com","Bath Fitter: 48-hour no-call lead follow-up setup","Hi Bath Fitter team,

I build automated lead-response systems for plumber businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-1002514113&vertical=plumber
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Bath Fitter, I can deploy a no-call lead follow-up setup for plumber in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-1002514113&vertical=plumber","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-1002514113&vertical=plumber","initial","0","sent","sent","pending","","","2026-03-08T02:36:47.590Z"
"node-7722508689","Carmel Mtn Ranch Dental Care","dentist","https://cmrdentalcare.com/","+1-858-487-6453","CMRdentalcare@gmail.com","Carmel Mtn Ranch Dental Care: 48-hour no-call lead follow-up setup","Hi Carmel Mtn Ranch Dental Care team,

I build automated lead-response systems for dentist businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-7722508689&vertical=dentist
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Carmel Mtn Ranch Dental Care, I can deploy a no-call lead follow-up setup for dentist in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-7722508689&vertical=dentist","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-7722508689&vertical=dentist","initial","0","sent","sent","pending","","","2026-03-08T02:36:47.590Z"
"node-11980951869","Children's Dentistry of San Diego","dentist","https://starrysmilez.com","+1-858-536-1111","contact@starrysmilez.com","Children's Dentistry of San Diego: 48-hour no-call lead follow-up setup","Hi Children's Dentistry of San Diego team,

I build automated lead-response systems for dentist businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11980951869&vertical=dentist
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Children's Dentistry of San Diego, I can deploy a no-call lead follow-up setup for dentist in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11980951869&vertical=dentist","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11980951869&vertical=dentist","initial","0","failed","failed","pending","Command failed: osascript -e tell application ""Mail"" -e set outgoingMessage to make new outgoing message with properties {subject:""Children's Dentistry of San Diego: 90% automated lead follow-up setup"", content:""Hi Children's Dentistry of San Diego team,\n\nI run MYMSAF (MyMultiPlatform Set-and-Forget) for dentist busi","","2026-03-08T02:36:47.590Z"
"node-6618029711","Chula Vista Repiping","plumber","https://integrityrepipe.com/chula-vista/","+1-619-313-5744","4repipe@gmail.com","Chula Vista Repiping: 48-hour no-call lead follow-up setup","Hi Chula Vista Repiping team,

I build automated lead-response systems for plumber businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-6618029711&vertical=plumber
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Chula Vista Repiping, I can deploy a no-call lead follow-up setup for plumber in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-6618029711&vertical=plumber","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-6618029711&vertical=plumber","initial","0","sent","sent","pending","","","2026-03-08T02:36:47.590Z"
"node-9203987420","Ciampoli Plumbing","plumber","https://www.ciampoliplumbing.com/","+1-619-439-7153","info@ciampoliplumbing.com","Ciampoli Plumbing: 48-hour no-call lead follow-up setup","Hi Ciampoli Plumbing team,

I build automated lead-response systems for plumber businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-9203987420&vertical=plumber
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Ciampoli Plumbing, I can deploy a no-call lead follow-up setup for plumber in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-9203987420&vertical=plumber","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-9203987420&vertical=plumber","initial","0","failed","failed","pending","Command failed: osascript -e tell application ""Mail"" -e set outgoingMessage to make new outgoing message with properties {subject:""Ciampoli Plumbing: 90% automated lead follow-up setup"", content:""Hi Ciampoli Plumbing team,\n\nI run MYMSAF (MyMultiPlatform Set-and-Forget) for plumber businesses in San Diego.\nWe deploy ","","2026-03-08T02:36:47.590Z"
"way-962989616","Collins Plumbing, Inc.","plumber","https://collinsplumbing.com/","+1-619-469-0800","officeadmin@collinsplumbing.com","Collins Plumbing, Inc.: 48-hour no-call lead follow-up setup","Hi Collins Plumbing, Inc. team,

I build automated lead-response systems for plumber businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-962989616&vertical=plumber
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Collins Plumbing, Inc., I can deploy a no-call lead follow-up setup for plumber in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-962989616&vertical=plumber","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=way-962989616&vertical=plumber","initial","0","failed","failed","pending","Command failed: osascript -e tell application ""Mail"" -e set outgoingMessage to make new outgoing message with properties {subject:""Collins Plumbing, Inc.: 90% automated lead follow-up setup"", content:""Hi Collins Plumbing, Inc. team,\n\nI run MYMSAF (MyMultiPlatform Set-and-Forget) for plumber businesses in San Diego.\n","","2026-03-08T02:36:47.590Z"
"node-11542189040","Core Plumbing","plumber","https://www.coreplumbingsd.com/lakeside/","+1-619-633-2140","info@coreplumbingsd.com","Core Plumbing: 48-hour no-call lead follow-up setup","Hi Core Plumbing team,

I build automated lead-response systems for plumber businesses in San Diego.

What you get in 48 hours:
- instant reply to new leads
- 3-step follow-up sequence
- weekly KPI report sent automatically

No meetings or calls required.
Flat setup: $299. Optional monthly optimization: $149.
Start async setup: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11542189040&vertical=plumber
Reply to mymultiplatform@gmail.com with ""YES"" for the one-page setup brief.

MYMSAF Ops | mymultiplatform@gmail.com","Hi Core Plumbing, I can deploy a no-call lead follow-up setup for plumber in 48h. Flat setup is $299. Start async: https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11542189040&vertical=plumber","https://www.mymultiplatform.com/set_and_forget/offer.html?src=outreach&lead=node-11542189040&vertical=plumber","initial","0","failed","failed","pending","Command failed: osascript -e tell application ""Mail"" -e set outgoingMessage to make new outgoing message with properties {subject:""Core Plumbing: 90% automated lead follow-up setup"", content:""Hi Core Plumbing team,\n\nI run MYMSAF (MyMultiPlatform Set-and-Forget) for plumber businesses in San Diego.\nWe deploy a no-cal","","2026-03-08T02:36:47.591Z"
