id,businessName,vertical,website,phone,email,lat,lon,source,score
"node-7722508689","Carmel Mtn Ranch Dental Care","dentist","https://cmrdentalcare.com/","+1-858-487-6453","CMRdentalcare@gmail.com","32.9830478","-117.074195","overpass","8.6"
"node-6618029711","Chula Vista Repiping","plumber","https://integrityrepipe.com/chula-vista/","+1-619-313-5744","4repipe@gmail.com","32.6289143","-117.037044","overpass","8.6"
"node-6283807349","Del Mar Endodontics","dentist","https://www.delmarendo.com/","+1-858-792-8201","contact@delmarendo.com","32.9535246","-117.2299844","overpass","8.6"
"node-7569931248","Integrity Repipe Inc","plumber","https://www.integrityrepipe.com/lakeside/","+1-619-494-3507","4repipe@gmail.com","32.8288725","-116.933097","overpass","8.6"
"node-9523676651","My Plumber CA","plumber","https://myplumberca.com","+1-619-447-5556","WeCare@MyPlumber.com","32.833128","-117.135343","overpass","8.6"
"node-5870511646","Omnitek Dental Ceramics","dentist","http://www.omnitekdental.com/","+1-619-420-0323","info@omnitekdental.com","32.6435157","-117.080967","overpass","8.6"
"node-9678584147","Pure Aesthetic Dentistry","dentist","https://pureaestheticdentistry.com/","+16198310003","contact@pureaestheticdentistry.com","32.5363046","-117.0228219","overpass","8.6"
"node-2769574259","San Diego Smile Dentistry","dentist","https://www.sd-smile.com/","+1 619 7376453","sdsmiledentist@gmail.com","32.8222296","-117.1579357","overpass","8.6"
"node-9440551281","Smile Plus Dentistry","dentist","https://smileplusdds.com/mira-mesa","+1 858 536 5550","miramesa@smileplusdds.com","32.9163987","-117.1140255","overpass","8.6"
"node-12676209970","Verday Smart Solutions","plumber","https://verdaysmartsolutions.com/","+1 858-477-3866","verdaysmart@gmail.com","32.7690703","-117.064927","overpass","8.6"
"way-31842544","A. O. Reed and Company","plumber","https://aoreed.com/","+1-858-565-4131","info@aoreed.com","32.8276629","-117.1575712","overpass","8.6"
"node-9414338726","Aero Dentistry Of San Diego","dentist","https://aerodentistry.com/","+1-858-277-2999","info@aerodentistry.com","32.8106876","-117.1161257","overpass","8.6"
"node-11980951869","Children's Dentistry of San Diego","dentist","https://starrysmilez.com","+1-858-536-1111","contact@starrysmilez.com","32.913725","-117.142792","overpass","8.6"
"node-9203987420","Ciampoli Plumbing","plumber","https://www.ciampoliplumbing.com/","+1-619-439-7153","info@ciampoliplumbing.com","32.7301762","-116.9685133","overpass","8.6"
"way-962989616","Collins Plumbing, Inc.","plumber","https://collinsplumbing.com/","+1-619-469-0800","officeadmin@collinsplumbing.com","32.7729444","-117.0240554","overpass","8.6"
"node-11542189040","Core Plumbing","plumber","https://www.coreplumbingsd.com/lakeside/","+1-619-633-2140","info@coreplumbingsd.com","32.8301315","-116.908786","overpass","8.6"
"node-12508670604","Greyling Dental","dentist","https://www.greylingdental.com","+1 858-292-1155","greylingdental@gmail.com","32.8022716","-117.1394444","overpass","8.6"
"node-9185141771","Helix Mechanical Inc","plumber","https://helixmechanical.com/","+1-619-447-6675","service@helixmechanical.com","32.8108719","-116.9637359","overpass","8.6"
"node-11247917476","Ideal Plumbing Heating Air Electrical","plumber","https://idealservice.com/","+1 619 583 7963","ideal@idealService.com","32.7912559","-117.0808065","overpass","8.6"
"way-31843079","J Geyer Plumbing","plumber","https://jgeyerplumbing.com/","+1-858-755-1811","office@jgeyerplumbing.com","32.8894654","-117.1602404","overpass","8.6"
"node-12260054260","Jagruti Patel, D.D.S. Family Dentistry","dentist","https://www.jpateldds.com","+1 858-792-2511","jpateldds2000@gmail.com","32.9543335","-117.2300075","overpass","8.6"
"node-276540980","La Jolla Colony Dental","dentist","https://lajollacolonydental.com","+1-858-546-8600","office@lajollacolonydental.com","32.8625503","-117.2247194","overpass","8.6"
"node-12756677819","Palm Dental Group","dentist","https://www.palmdentalgroup.com","+1-619-460-1991","support@TOTO88.com","32.7341304","-117.0315434","overpass","8.6"
"node-2222955809","Pearl Cosmetic DDS","dentist","https://www.pearlcosmeticdds.com/","+1-858-513-1747","CS@PearlCosmeticDDS.com","32.9627423","-117.091992","overpass","8.6"
"node-6036755254","Perfect Smiles California","dentist","https://www.perfectsmilescalifornia.com/","+1-619-656-4199","perfectsmilescalifornia@gmail.com","32.6369331","-117.016779","overpass","8.6"
"node-8851530503","Singing Hills Dentistry","dentist","https://implantdentistelcajon.com/","+1-619-670-5133","singinghillsdentistry@gmail.com","32.7404791","-116.9418885","overpass","8.6"
"node-12653491376","The Dental Orchid","dentist","https://thedentalorchid.com/","+1-858-538-5280","info@thedentalorchid.com","32.9589111","-117.1247776","overpass","8.6"
"node-5870511647","Town Centre Dental Group","dentist","https://tcdentalgroupchulavista.com/","+1-619-427-9440","tcdentalgroup@gmail.com","32.6434516","-117.08095","overpass","8.6"
"node-12142984151","Walnut Avenue Dentistry","dentist","https://sddentistry.com","+1 619-291-1181","dr@sddentistry.com","32.7412701","-117.1620155","overpass","8.6"
